target,stoploss,target_hits,stoploss_hits,risk_reward_ratio,success_rate
20,40,13,2,0.5,0.87
20,45,13,2,0.44,0.87
20,50,13,2,0.4,0.87
15,40,13,2,0.38,0.87
20,55,13,2,0.36,0.87
15,45,13,2,0.33,0.87
20,60,13,2,0.33,0.87
20,65,13,2,0.31,0.87
15,50,13,2,0.3,0.87
20,70,13,2,0.29,0.87
15,55,13,2,0.27,0.87
20,75,13,2,0.27,0.87
10,40,13,2,0.25,0.87
15,60,13,2,0.25,0.87
20,80,13,2,0.25,0.87
20,85,13,2,0.24,0.87
15,65,13,2,0.23,0.87
10,45,13,2,0.22,0.87
20,90,13,2,0.22,0.87
15,70,13,2,0.21,0.87
20,95,13,2,0.21,0.87
10,50,13,2,0.2,0.87
15,75,13,2,0.2,0.87
20,100,13,2,0.2,0.87
15,80,13,2,0.19,0.87
10,55,13,2,0.18,0.87
15,85,13,2,0.18,0.87
10,60,13,2,0.17,0.87
15,90,13,2,0.17,0.87
15,95,13,2,0.16,0.87
10,65,13,2,0.15,0.87
15,100,13,2,0.15,0.87
10,70,13,2,0.14,0.87
10,75,13,2,0.13,0.87
10,80,13,2,0.12,0.87
10,85,13,2,0.12,0.87
10,90,13,2,0.11,0.87
10,95,13,2,0.11,0.87
10,100,13,2,0.1,0.87
20,30,12,3,0.67,0.8
25,40,12,3,0.62,0.8
20,35,12,3,0.57,0.8
25,45,12,3,0.56,0.8
15,30,12,3,0.5,0.8
25,50,12,3,0.5,0.8
25,55,12,3,0.45,0.8
15,35,12,3,0.43,0.8
25,60,12,3,0.42,0.8
35,90,12,3,0.39,0.8
25,65,12,3,0.38,0.8
35,95,12,3,0.37,0.8
25,70,12,3,0.36,0.8
35,100,12,3,0.35,0.8
10,30,12,3,0.33,0.8
25,75,12,3,0.33,0.8
30,90,12,3,0.33,0.8
30,95,12,3,0.32,0.8
25,80,12,3,0.31,0.8
30,100,12,3,0.3,0.8
10,35,12,3,0.29,0.8
25,85,12,3,0.29,0.8
25,90,12,3,0.28,0.8
25,95,12,3,0.26,0.8
25,100,12,3,0.25,0.8
25,30,11,4,0.83,0.73
20,25,11,4,0.8,0.73
30,40,11,4,0.75,0.73
25,35,11,4,0.71,0.73
30,45,11,4,0.67,0.73
15,25,11,4,0.6,0.73
30,50,11,4,0.6,0.73
35,60,11,4,0.58,0.73
30,55,11,4,0.55,0.73
35,65,11,4,0.54,0.73
30,60,11,4,0.5,0.73
35,70,11,4,0.5,0.73
45,90,11,4,0.5,0.73
35,75,11,4,0.47,0.73
45,95,11,4,0.47,0.73
30,65,11,4,0.46,0.73
45,100,11,3,0.45,0.79
35,80,11,4,0.44,0.73
40,90,11,4,0.44,0.73
30,70,11,4,0.43,0.73
40,95,11,4,0.42,0.73
35,85,11,4,0.41,0.73
10,25,11,4,0.4,0.73
30,75,11,4,0.4,0.73
40,100,11,3,0.4,0.79
30,80,11,4,0.38,0.73
30,85,11,4,0.35,0.73
25,25,10,5,1.0,0.67
30,30,10,5,1.0,0.67
35,40,10,5,0.88,0.67
30,35,10,5,0.86,0.67
35,45,10,5,0.78,0.67
70,90,10,4,0.78,0.71
45,60,10,5,0.75,0.67
70,95,10,4,0.74,0.71
65,90,10,4,0.72,0.71
35,50,10,5,0.7,0.67
70,100,10,3,0.7,0.77
45,65,10,5,0.69,0.67
65,95,10,4,0.68,0.71
40,60,10,5,0.67,0.67
60,90,10,4,0.67,0.71
65,100,10,3,0.65,0.77
35,55,10,5,0.64,0.67
45,70,10,5,0.64,0.67
60,95,10,4,0.63,0.71
40,65,10,5,0.62,0.67
55,90,10,4,0.61,0.71
45,75,10,5,0.6,0.67
60,100,10,3,0.6,0.77
55,95,10,4,0.58,0.71
40,70,10,5,0.57,0.67
45,80,10,5,0.56,0.67
50,90,10,4,0.56,0.71
55,100,10,3,0.55,0.77
40,75,10,5,0.53,0.67
45,85,10,5,0.53,0.67
50,95,10,4,0.53,0.71
40,80,10,5,0.5,0.67
50,100,10,3,0.5,0.77
40,85,10,5,0.47,0.67
30,25,9,6,1.2,0.6
35,30,9,6,1.17,0.6
70,60,9,6,1.17,0.6
45,40,9,6,1.12,0.6
65,60,9,6,1.08,0.6
70,65,9,6,1.08,0.6
20,20,9,6,1.0,0.6
35,35,9,6,1.0,0.6
40,40,9,6,1.0,0.6
45,45,9,6,1.0,0.6
60,60,9,6,1.0,0.6
65,65,9,6,1.0,0.6
70,70,9,6,1.0,0.6
85,90,9,5,0.94,0.64
65,70,9,6,0.93,0.6
70,75,9,6,0.93,0.6
55,60,9,6,0.92,0.6
60,65,9,6,0.92,0.6
45,50,9,6,0.9,0.6
40,45,9,6,0.89,0.6
80,90,9,5,0.89,0.64
85,95,9,5,0.89,0.64
70,80,9,5,0.88,0.64
65,75,9,6,0.87,0.6
60,70,9,6,0.86,0.6
55,65,9,6,0.85,0.6
85,100,9,4,0.85,0.69
80,95,9,5,0.84,0.64
50,60,9,6,0.83,0.6
